Name	Description	Category	Cost_M	Adjusted2024_M	CostPerYear_M	StartYear	EndYear	Years	ref_id	supporting_refs	ref_note	confidence	validated_by
F-35 Fighter Program	Joint Strike Fighter development	Defense	400000	$500	18182	2021	2023	22				none	none
Apollo Program	First human Moon landing program	Space	28400	$283	2582	1961	1972	11				none	none
International Space Station	Orbital space station construction	Space	150000	$209	11538	1998	2011	13				none	none
Kashagan Oil Field	Kazakhstan oil field development	Energy	116000	$140	7250	2000	2016	16				none	none
California High-Speed Rail	LA to SF high-speed rail project	Transport	105000	$105	4200	2008	2033	25				none	none
Chevron Gorgon Project	Australian LNG development	Energy	54000	$62	6750	2009	2017	8				none	none
Meta Reality Labs	Virtual and augmented reality development	Tech	60000	$60	6000	2014	2024	10				none	none
Boeing 787 Development	Dreamliner aircraft development	Transport	32000	$42	4000	2003	2011	8				none	none
Three Gorges Dam	World's largest hydroelectric dam	Infrastructure	32000	$42	1778	1994	2012	18				none	none
TSMC Arizona Fabs	Advanced semiconductor manufacturing	Tech	40000	$40	8000	2021	2026	5				none	none
Manhattan Project	First atomic weapons development	Defense/Research	2000	$32	500	1942	1946	4				none	none
ITER Fusion Reactor	International experimental fusion reactor	Research	22000	$24	1222	2007	2025	18				none	none
Hong Kong-Zhuhai-Macau Bridge	World's longest sea crossing	Infrastructure	18800	$21	2089	2009	2018	9				none	none
Samsung Texas Chip Plant	Semiconductor manufacturing facility	Tech	17000	$17	5667	2021	2024	3				none	none
UK Aircraft Carrier Program	Queen Elizabeth class carriers	Defense	13000	$15	1083	2008	2020	12				none	none
Windows Development	Microsoft's OS development costs	Tech	11000	$14	333	1990	2023	33				none	none
Human Genome Project	First complete mapping of human DNA	Research	6500	$11	650	1990	2000	10				none	none
James Webb Space Telescope	Most powerful space telescope ever built	Space	10000	$11	400	1996	2021	25				none	none
Brain Megaprojects Cumulative	Academic and Industry brain projects in the last 20y	Research	10500	$11	500	2004	2024	20				none	none
Channel Tunnel	Underground tunnel connecting UK and France	Infrastructure	4650	$9	775	1988	1994	6				none	none
Large Hadron Collider	World's largest particle accelerator	Research	4750	$8	475	1998	2008	10				none	none
